Date,Open,High,Low,Close,Adj Close,Volume,
2020-02-02,1,1.01,0.9986,1,1,"23,738,387",
2020-02-03,1,1.01,0.9951,1,1,"24,232,653",
2020-02-04,1,1.01,0.9984,1,1,"25,402,603",
2020-02-05,1,1.01,0.9952,1,1,"41,115,461",
2020-02-06,1,1.01,0.9969,0.9994,0.9994,"37,487,335",
2020-02-07,0.9993,1,0.9966,0.9989,0.9989,"37,358,541",
2020-02-08,0.9998,1.01,0.996,0.9981,0.9981,"40,521,021",
2020-02-09,0.998,1.01,0.9935,0.9997,0.9997,"40,179,288",
2020-02-10,0.9993,1.02,0.996,1,1,"56,079,122",
2020-02-11,1,1.01,0.9863,0.9943,0.9943,"64,162,627",
2020-02-12,0.9942,1,0.9911,0.9997,0.9997,"74,523,687",
2020-02-13,0.9997,1.01,0.9902,0.9992,0.9992,"75,389,063",
2020-02-14,0.9988,1,0.9952,0.9979,0.9979,"52,949,335",
2020-02-15,0.9979,1.02,0.9954,1,1,"57,484,569",
2020-02-16,1,1.01,0.9956,0.9978,0.9978,"77,810,566",
2020-02-17,0.9996,1.01,0.9939,0.9986,0.9986,"89,466,649",
2020-02-18,0.9984,1.01,0.9862,0.998,0.998,"68,449,918",
2020-02-19,0.9979,1.03,0.9953,1,1,"55,716,986",
2020-02-20,1,1.01,0.9937,1,1,"63,000,775",
2020-02-21,1,1,0.9937,1,1,"48,193,093",
2020-02-22,1,1.01,0.9963,1,1,"33,343,408",
2020-02-23,1,1,0.9905,0.9954,0.9954,"47,554,548",
2020-02-24,0.9951,1.01,0.995,0.9992,0.9992,"74,632,018",
2020-02-25,0.9992,1.01,0.9942,1,1,"79,803,020",
2020-02-26,1,1.01,0.9968,1,1,"110,580,685",
2020-02-27,1,1.01,0.9928,0.9995,0.9995,"90,416,238",
2020-02-28,1,1.01,0.9911,0.9961,0.9961,"81,811,416",
2020-02-29,0.9957,1.01,0.9924,1.01,1.01,"49,487,942",
2020-03-01,1.01,1.01,0.9963,1,1,"64,993,871",
2020-03-02,1,1,0.9939,0.995,0.995,"67,575,720",
2020-03-03,0.9945,1.01,0.9933,1,1,"65,176,961",
2020-03-04,1,1.01,0.9965,1,1,"48,772,165",
2020-03-05,1,1,0.9954,1,1,"72,803,379",
2020-03-06,1,1,0.9959,0.9967,0.9967,"72,221,145",
2020-03-07,0.996,1.01,0.9953,1,1,"58,114,947",
2020-03-08,1,1.02,0.9973,1.01,1.01,"129,473,378",
2020-03-09,1.01,1.01,0.9958,1,1,"168,888,966",
2020-03-10,1,1.02,0.9938,1,1,"99,168,054",
2020-03-11,1,1.01,0.9937,0.9974,0.9974,"90,540,790",
2020-03-12,0.9976,1.11,0.9546,1.05,1.05,"249,341,372",
2020-03-13,1.05,1.08,0.8861,0.9931,0.9931,"215,529,294",
2020-03-14,0.9925,1.01,0.9887,1,1,"105,289,888",
2020-03-15,1,1.02,0.9934,1.01,1.01,"96,536,864",
2020-03-16,1,1.05,0.976,0.9957,0.9957,"148,465,194",
2020-03-17,0.9954,1.01,0.9524,0.9725,0.9725,"107,386,210",
2020-03-18,0.9714,1.01,0.9666,0.97,0.97,"105,283,008",
2020-03-19,0.97,1,0.944,1,1,"141,466,502",
